offer ($),clients reduction (W),H,motor
9.775,65762.0,15146.227,0.0
9.8,65762.0,15146.227,0.0
9.825,65762.0,15146.227,0.0
9.85,65762.0,15146.227,0.0
9.875,65762.0,15146.227,0.0
9.9,65762.0,15146.227,0.0
9.925,65762.0,15146.227,0.0
9.95,65762.0,15146.227,0.0
9.975,65762.0,15146.227,0.0
10.0,65762.0,15146.227,0.0
10.025,65873.0,15132.352,0.0
10.05,65873.0,15132.352,0.0
10.075,65873.0,15132.352,0.0
10.1,65873.0,15132.352,0.0
10.125,65873.0,15132.352,0.0
10.15,65873.0,15132.352,0.0
10.175,66097.0,15104.352,0.0
10.2,66097.0,15104.352,0.0
10.225,66097.0,15104.352,0.0
10.25,66097.0,15104.352,0.0
10.275,66108.0,15102.977,0.0
10.3,66108.0,15102.977,0.0
10.325,66108.0,15102.977,0.0
10.35,66108.0,15102.977,0.0
10.375,66108.0,15102.977,0.0
10.4,66108.0,15102.977,0.0
10.425,66108.0,15102.977,0.0
10.45,66311.0,15077.602,0.0
10.475,66311.0,15077.602,0.0
10.5,66311.0,15077.602,0.0
10.525,66311.0,15077.602,0.0
10.55,66311.0,15077.602,0.0
10.575,66311.0,15077.602,0.0
10.6,66311.0,15077.602,0.0
10.625,66311.0,15077.602,0.0
10.65,66311.0,15077.602,0.0
10.675,66311.0,15077.602,0.0
10.7,66311.0,15077.602,0.0
10.725,66311.0,15077.602,0.0
10.75,66450.0,15060.227,0.0
10.775,66450.0,15060.227,0.0
10.8,66450.0,15060.227,0.0
10.825,66460.0,15058.977,0.0
10.85,66493.0,15054.852,0.0
10.875,66660.0,15033.977,0.0
10.9,66660.0,15033.977,0.0
10.925,66660.0,15033.977,0.0
10.95,66660.0,15033.977,0.0
10.975,66660.0,15033.977,0.0
11.0,66660.0,15033.977,0.0
11.025,66660.0,15033.977,0.0
11.05,66660.0,15033.977,0.0
11.075,66660.0,15033.977,0.0
11.1,66660.0,15033.977,0.0
11.125,66660.0,15033.977,0.0
11.15,66660.0,15033.977,0.0
11.175,66660.0,15033.977,0.0
11.2,66660.0,15033.977,0.0
11.225,66660.0,15033.977,0.0
11.25,66660.0,15033.977,0.0
11.275,66864.0,15008.477,0.0
11.3,66864.0,15008.477,0.0
11.325,66864.0,15008.477,0.0
11.35,66864.0,15008.477,0.0
11.375,66968.0,14995.477,0.0
11.4,66974.0,14994.727,0.0
11.425,66974.0,14994.727,0.0
11.45,66974.0,14994.727,0.0
11.475,66974.0,14994.727,0.0
11.5,66974.0,14994.727,0.0
11.525,66974.0,14994.727,0.0
11.55,66974.0,14994.727,0.0
11.575,66974.0,14994.727,0.0
11.6,66974.0,14994.727,0.0
11.625,66974.0,14994.727,0.0
11.65,66974.0,14994.727,0.0
11.675,66974.0,14994.727,0.0
11.7,66974.0,14994.727,0.0
11.725,66974.0,14994.727,0.0
11.75,66974.0,14994.727,0.0
11.775,67076.0,14981.977,0.0
11.8,67270.0,14957.727,0.0
11.825,67270.0,14957.727,0.0
11.85,67270.0,14957.727,0.0
